,principal component 1,principal component 2,principal component 3,CancerType
60,-9.802498406206638,3.0073946206736184,-0.8953134313828227,Blood
61,-9.853085709032676,3.4360212095549048,-0.4409906294964762,Blood
62,-10.003330414238064,2.368948110381617,-0.24092450407144447,Blood
63,-10.79499937485934,4.9211858934754185,-1.7183358167232026,Blood
64,-16.30263306312998,6.9129325618811395,-2.00142443365153,Blood
65,-8.550719418962263,2.58221037800989,-0.26145130795464844,Blood
66,-10.671766782517919,3.848147289828109,-1.5018637886571655,Blood
67,-9.885138920072743,3.2549019076013566,-0.44488655127373267,Blood
68,-9.714165783069603,2.561598779995721,-0.1103367475469225,Blood
69,-9.591267827775829,3.186854154308163,-0.3719344841037782,Blood
70,-10.954166503348617,2.90475521273436,-0.5944666277534731,Blood
71,-10.778766071473564,2.889368313517049,-0.07980605913238906,Blood
72,-11.642989259617877,5.340251523449133,-0.6038030377907756,Blood
73,-10.793601463824908,2.8579415454826194,-0.709473797416138,Blood
74,-9.324841335023152,2.7113265707088527,-0.15705513591193718,Blood
75,-14.983437399888635,5.912574225008351,-1.9816248258192994,Blood
76,-13.323824606374657,4.886662381623445,-0.03993255420448769,Blood
77,-9.046211805016156,2.5371079870203346,-0.7032249043896536,Blood
78,-12.728387343891358,5.021117807934937,-3.0135770429025173,Blood
79,-11.902233312376072,3.5840875267189984,0.2569587697059089,Blood
80,-12.25846405104884,4.4651867557513585,-0.1561726706715682,Blood
81,-10.58522039952414,3.3166177268613604,-0.31365510410072306,Blood
82,-10.702144373535456,4.007067817855842,-1.5335184358107825,Blood
83,-11.57884459289805,3.4339353578614595,-0.8683965807858102,Blood
84,-12.229183216053048,4.0422681490703765,-0.7710518486388004,Blood
85,-14.908986375282089,6.131855800015909,-1.7870690268279716,Blood
86,-12.589777581818694,4.387809420471194,-1.1357837220142812,Blood
87,-7.955171294921367,2.1164252015079668,-0.003912382604900431,Blood
88,-9.082298747413336,1.908900630295179,-0.2907270470160621,Blood
89,-11.089319216810344,3.793008198137217,-2.5536588431801786,Blood
90,-10.008805356654898,2.7144795905212824,-0.2892111750754708,Blood
91,-8.175472302271244,3.052727760478316,-0.8309673027903212,Blood
92,-10.12136919112535,3.2549161087526066,-0.353268802566991,Blood
93,-9.98972458173771,2.672011609446634,-0.14378722987798695,Blood
94,-9.843294954679537,2.590507603526082,-0.35275127741818074,Blood
95,-11.076198627377087,3.6613656566572574,-0.8332629325243218,Blood
96,-9.149549257195735,2.157265102484123,-0.05622312138471882,Blood
97,-10.991896184135683,3.8281208326950154,-0.9022735286683773,Blood
98,-14.393804126051469,5.853722879026327,-1.3082113099584287,Blood
99,-10.44356652087047,3.3360753165364976,-0.3427347194123185,Blood
100,-8.250366163048687,1.8260347131785857,-0.15329437305512808,Blood
101,-11.230295708019254,4.475545634937918,-1.1508158192020046,Blood
102,-10.64743355249316,4.118845350709682,-1.4005635420424838,Blood
103,-11.931789698903819,4.342107220698714,-1.715197918510683,Blood
104,-10.169930181519495,2.508952057445704,0.1583117492093082,Blood
105,-12.173811740162302,4.120200286366171,-1.8434339584115642,Blood
106,-8.255057963385111,1.8048778581368716,0.7940857078909306,Blood
107,-10.868670464968995,3.4996964851170054,-1.1177243593211712,Blood
108,-13.630502024499593,4.953829709962219,-3.80696560288371,Blood
